Unnamed: 0,OBJECTID,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,STRZUSTAND,IstPKW,IstKrad,IstGkfz,IstFuss,IstSonstige,lat,lon,alone,not_alone,UTYP2,weekend
0,112747,1,15,4,3,6,7,1,1,0,0,0,1,0,52.5834715356055,13.403227969440675,0,1,7,0
1,112892,1,11,5,3,5,2,0,1,1,0,0,0,0,52.53525526125089,13.432186282183151,0,1,2,0
2,112902,1,8,2,3,5,2,0,0,1,0,0,0,0,52.5141731246371,13.470896587382288,0,1,2,0
3,112921,1,19,4,3,5,7,2,1,1,0,0,0,0,52.51084845216426,13.394673449128847,0,1,7,0
4,112947,1,18,4,2,5,3,2,1,1,0,0,0,0,52.458992961679954,13.506372166134055,0,1,2,0
5,112992,1,11,7,3,6,4,0,0,0,0,0,1,0,52.50495532968967,13.448554440855105,0,1,4,1
6,113009,1,8,3,3,5,3,0,1,1,0,0,0,0,52.51591280231046,13.373030297408993,0,1,2,0
7,113235,1,12,2,3,5,3,0,0,0,0,0,0,1,52.523445715565614,13.417693282020776,0,1,2,0
8,113267,1,8,2,3,6,4,0,0,0,0,0,1,0,52.53611592350688,13.433537462368653,0,1,4,0
9,113277,1,8,5,3,5,3,0,1,1,0,0,0,0,52.51883086279543,13.453670058579053,0,1,2,0
10,113314,1,8,5,2,5,3,0,1,1,0,0,0,0,52.51764210481606,13.43652747077767,0,1,2,0
11,113324,1,6,3,1,5,2,2,1,0,0,1,0,0,52.48690005189926,13.357186281683301,0,1,2,0
12,113425,1,11,6,3,1,5,0,0,1,0,0,0,0,52.53209045875865,13.428509205565545,0,1,5,0
13,113473,1,16,5,2,5,3,0,1,1,0,0,0,0,52.479704519840794,13.353232747105048,0,1,2,0
14,113484,1,10,4,2,5,3,0,1,1,0,0,0,0,52.42985298833909,13.375945866470664,0,1,2,0
15,113516,1,6,3,3,5,3,2,0,1,0,0,0,0,52.52346813184222,13.417718712673617,0,1,2,0
16,113631,1,10,7,2,5,3,0,0,1,0,0,0,0,52.51509808818967,13.460259548607276,0,1,2,1
17,113820,1,15,5,3,5,2,0,0,1,0,0,0,0,52.50507899474884,13.57994695595187,0,1,2,0
18,113844,1,8,2,3,5,2,0,0,1,0,0,0,0,52.45581365029534,13.510905418097803,0,1,2,0
19,113855,1,6,5,3,5,2,0,1,1,0,0,0,0,52.627620843725396,13.311320405080304,0,1,2,0
20,114018,11,18,2,3,3,6,2,0,1,0,0,0,0,52.522199522664565,13.415931434270963,0,1,6,0
21,114019,8,19,5,3,5,2,0,0,1,0,0,0,0,52.48010314228453,13.352133033505574,0,1,2,0
22,114021,10,22,6,3,1,5,2,0,1,0,0,0,0,52.51731745146054,13.394623874053664,0,1,5,0
23,114023,4,19,2,2,3,6,0,0,1,0,0,0,0,52.51475407416376,13.465114408224409,0,0,6,0
24,114025,5,14,4,2,5,3,0,0,1,0,0,0,0,52.50882798673321,13.556285309720176,0,1,2,0
25,114039,4,21,4,3,2,6,2,0,1,0,0,0,0,52.49088683716263,13.360697758955073,0,1,6,0
26,114040,3,17,1,3,5,2,0,0,1,0,0,0,0,52.41364201664507,13.361783991082447,0,1,2,1
