HV1,IC1,IC2,IC3,IC4,IC5,AVGGIFT,TARGET_D
2346,420,446,468,503,14552,15.5,21
497,350,364,357,384,11696,3.08,3
1229,469,502,507,544,17313,7.5,20
325,148,181,171,209,6334,6.7,5
768,174,201,220,249,7802,8.785714286,10
557,211,188,221,205,5550,13,16
2145,474,492,522,554,18340,11.57142857,15
2184,351,376,394,419,16480,12.5,20
1442,369,394,445,488,26462,7.846153846,10
1708,437,586,551,684,29098,9.769230769,20
1054,584,644,652,726,26074,13.53846154,20
1062,486,550,555,584,17908,15.33333333,20
849,457,508,470,519,16386,12.8,25
213,222,273,283,329,12227,5.125,5
574,289,318,315,363,11250,3.555555556,4
2506,449,455,501,517,16302,8.875,50
622,347,378,401,416,15808,15,25
764,272,361,346,424,16257,7.913043478,15
681,335,398,356,419,14011,30.75,51
284,222,271,274,309,9798,9.117647059,10
1074,232,252,294,309,15070,10.04347826,20
1246,264,296,339,362,11851,7.5,10
714,299,311,333,343,12239,12.07142857,6
866,463,475,467,492,15563,7.545454545,11
626,235,246,258,272,7918,15,20
399,266,338,295,359,11596,7.764705882,13
529,413,431,434,473,13711,4.652173913,5
995,252,280,316,348,17991,6,5
2206,574,567,583,562,12225,8.428571429,8
1072,547,597,555,636,17662,18.6,10
382,173,211,233,259,9037,10.64705882,20
1358,447,481,470,501,18607,7.545454545,6
724,380,443,424,465,19961,10.66666667,10
721,271,352,319,383,16938,7.842105263,7
605,272,313,335,364,10897,37.2,10
1016,235,246,278,303,12496,20,20
427,71,141,121,253,6671,10.75,20
1245,618,634,687,705,21467,7.285714286,8
927,220,294,278,354,13812,10.27272727,5
452,219,246,261,268,8728,10,15
3515,521,565,549,588,20068,8.64,10
2324,374,404,445,484,14229,10.6,25
826,314,348,390,426,14958,9.1875,8
1861,402,499,461,527,22794,14,25
305,95,103,162,182,6104,13.33333333,20
3543,484,575,556,624,21140,10.6,16
1186,496,537,513,571,20563,7.6,15
290,173,228,244,303,10700,8.538461539,11
2302,313,390,411,521,18199,7.133333333,10
2208,313,334,393,411,14497,11.5,5
487,273,308,275,314,13272,4,5
2490,379,459,546,649,26456,8.954545455,20
1657,264,360,388,491,23026,4.1,3
1183,496,603,566,654,27491,10.65217391,5
317,231,249,241,249,17155,4.885769231,7
923,373,481,402,497,16271,6.818181818,10
908,290,357,326,382,12793,8.454545455,11
756,305,321,333,354,12909,13.46153846,10
691,500,521,521,550,17824,8.793103448,5
2130,315,309,380,380,11583,5.705882353,6
650,278,372,339,445,17843,15.47727273,12
683,343,398,377,441,15482,7.214285714,10
542,280,305,303,320,10254,7,20
1454,523,526,575,579,16035,11.64285714,20
777,317,408,346,431,14867,7.555555556,10
571,238,292,288,335,11412,4.428571429,8
444,265,282,322,357,12189,25,30
729,324,343,400,447,16479,4.894736842,7
1679,503,519,553,560,16142,7.6,10
1040,220,309,256,278,14610,7.9375,9
536,261,296,278,307,8438,4.944444444,10
1650,397,404,477,479,15002,15,21
2855,311,385,484,537,18525,11.46153846,40
1098,374,386,427,432,16263,22.78571429,50
811,275,268,354,350,11729,11.55555556,15
576,216,319,295,339,17149,17.625,30
857,296,348,360,399,14157,11.11764706,16
881,363,412,428,469,15179,9,15
367,179,220,236,276,9389,11.44444444,20
469,293,354,331,398,13446,19.28571429,25
632,336,351,364,392,12577,6.416666667,5
1610,413,644,551,721,24479,6.05,8
531,246,278,272,290,10423,5.375,5
426,139,130,169,156,4437,15.83333333,30
1578,306,304,342,337,7046,9.118235294,14
5000,569,936,712,932,52576,15,5.25
578,310,370,340,427,19153,4.733333333,10
668,296,308,317,337,11490,15,15
825,281,301,336,356,11946,15,10
495,169,188,209,226,7403,7.75,5
870,481,514,515,555,22886,7.3,10
533,246,276,287,308,10096,13.375,17
940,296,421,321,439,17458,5.75,9
363,242,244,302,297,11607,23,30
262,150,194,186,228,8475,15,5
2869,630,668,686,745,24945,14.16666667,25
828,232,308,327,380,15119,10.30769231,12
1003,258,322,318,386,15748,25,25
3994,522,627,609,734,24150,7.076923077,6
955,329,332,346,359,10736,12.33333333,12
2278,370,424,462,508,18777,9.625,14
611,265,323,302,337,12313,15,20
598,283,318,327,362,12093,5.055555556,5
1447,296,402,355,434,17489,23.85714286,42
457,211,388,390,546,15648,11.25,20
850,270,311,292,347,14275,15,15
588,233,249,254,266,10309,8.333333333,5
776,312,356,367,397,12653,5.636363636,40
385,207,264,281,363,12419,15.14285714,21
563,150,203,251,251,9816,27.25,5
549,367,414,385,430,12991,5.333333333,5
738,332,379,387,438,16613,11,15
369,253,269,266,291,7909,25,30
3668,690,693,781,780,32964,15,15
1219,417,472,494,540,21371,3.722222222,3
639,228,269,289,333,12224,9.25,20
547,247,320,306,382,13661,12.625,10
468,254,295,306,337,11472,8,10
655,215,247,267,305,12067,14.44,14
2346,569,568,644,617,21982,6.923076923,15
836,379,397,418,431,15702,8.833333333,20
1158,369,398,373,386,11592,4.090909091,3
1713,217,244,310,334,9763,15,15
848,368,397,392,412,13741,15,15
683,331,349,367,397,13025,11.22727273,20
1656,298,350,356,388,17943,15.35,25
762,254,355,327,411,17458,8.761904762,18
440,185,231,253,299,9983,8.916666667,5
576,200,280,244,324,12518,12.90909091,10
1364,411,477,483,564,18678,20.875,10
704,359,370,392,405,13482,7.5,10
427,315,365,340,377,11299,9,15
2549,610,616,590,621,19524,15,30
891,489,516,595,655,26220,4.277777778,5
663,205,220,234,277,10959,13.24,20
503,261,267,290,308,9917,8.863636364,10
4435,403,497,504,610,26354,11.14285714,10
708,368,404,407,441,14303,12.52631579,20
770,228,282,272,318,12603,20,30
928,409,484,456,541,19428,20,20
543,306,314,321,337,11140,10.91666667,18
736,617,646,654,761,25623,9.6,16
1342,552,558,599,619,19488,11,20
815,264,439,322,472,18423,10,14
1542,335,619,548,748,36158,22.5,25
1102,404,540,470,591,21178,15,10
501,359,407,385,445,16856,7.5,15
416,267,337,326,389,13288,12.77777778,10
687,111,90,171,172,6615,5.222222222,5
1152,521,546,542,561,17112,5.090909091,5
646,357,365,354,377,13882,12,10
278,199,244,238,270,9994,9.777777778,20
3531,744,880,812,902,50146,11.33333333,10
406,240,243,255,265,6733,17.5,16
150,162,197,198,239,8299,6.827647059,5
303,164,225,233,288,10054,19.5,15
2125,375,399,411,468,21196,20,30
780,278,323,345,414,14360,14.14285714,10
612,305,332,346,372,11671,20.5,5
858,388,418,429,494,19457,7.785714286,10
1008,450,496,463,540,19493,12.30769231,15
847,185,238,225,308,11582,11.5,25
1337,223,367,430,541,19166,16.66666667,20
3874,776,759,865,852,29217,14,20
1618,508,580,527,635,22608,11.54545455,14
947,300,360,342,469,17986,85,100
689,235,341,257,338,11586,4.857142857,5
535,269,318,328,375,14661,7.6,10
470,216,219,264,314,11895,3,3
2108,897,1044,943,1024,70349,11.25,15
591,211,246,249,292,10661,2.944444444,3
896,392,430,466,520,21975,15.3,20
5643,772,939,828,971,55164,13.33333333,25
1716,367,618,508,660,22850,15,15
1144,333,443,436,505,16518,14.81818182,10
493,215,297,238,321,9071,5.206896552,5
2057,440,465,447,471,15379,14.77777778,15
866,387,453,428,491,24381,25,25
1841,376,387,435,450,17077,11.625,15
1483,673,695,744,774,27393,20,20
1191,357,362,455,466,14436,25,50
801,393,488,409,473,16846,16.5,15
1260,252,357,309,404,17617,4.857142857,5
1843,515,511,575,582,23660,19,10
828,478,506,487,540,16643,4.75,5
2631,689,753,772,816,38138,25,25
3663,749,777,784,818,27400,4.285714286,4
498,227,278,282,315,10907,7.454545455,9
1851,472,531,530,563,17217,20,20
374,234,305,225,283,10539,5.538461539,12
984,330,357,375,413,13871,9.5,8
1052,482,499,516,541,20492,10.83333333,10
517,197,266,243,317,11616,8.333333333,15
717,278,315,316,360,13366,9.444444444,10
507,194,240,250,298,10300,4.923076923,5
564,217,386,295,397,12315,11.4,14
1114,377,516,492,618,21787,20,20
538,227,288,299,374,13593,11.33333333,5
329,211,239,275,303,9216,15,15
428,208,227,251,276,10201,10.35714286,10
1685,265,340,325,408,18752,7.545454545,14
407,186,220,232,271,9728,4.411764706,6
950,282,307,332,353,13303,21.66666667,25
2880,511,539,566,587,25314,8.315789474,12
580,310,322,347,374,12273,10.75,14
300,240,283,285,322,10527,5,5
803,427,442,456,481,14342,5.714285714,5
517,123,180,194,231,7025,12,21
3370,763,824,824,871,32072,9.888888889,20
355,252,292,271,309,10409,12.33333333,16
460,200,279,258,321,10559,7.166666667,10
349,228,308,259,311,10584,8.111111111,15
1175,586,619,626,662,22215,4.5,6
801,389,393,426,436,13663,25,25
1473,327,324,395,382,12051,20.66666667,20
708,294,346,332,376,11850,7.181818182,10
353,225,258,277,300,11725,25,15
637,286,316,335,371,13061,25,25
466,244,280,280,307,10532,13.7826087,35
801,301,370,360,408,13339,15.2,25
429,266,302,310,343,12534,5.5,3
5059,693,752,751,847,29368,10.6,25
1833,594,642,668,706,21653,17,25
2119,956,1010,964,987,50910,22.5,30
582,173,195,212,231,8740,9.714285714,5
902,477,507,500,517,15876,15,50
587,305,325,316,345,10907,8.214285714,12
748,326,310,366,358,10304,5.571428571,7
1480,560,684,635,718,22088,7.617021277,10
623,273,300,293,319,10923,15,25
717,214,313,279,413,16795,17.86666667,20
1015,478,500,516,533,17763,9.571428571,10
893,238,285,299,339,12393,13.6,10
723,252,291,312,348,11313,7.894736842,5
1733,410,441,412,442,13449,8.96875,10
773,475,488,498,530,15939,6.666666667,6
844,350,356,386,393,13175,8.344827586,20
759,299,332,332,386,15734,6.1,10
444,221,243,251,272,7653,5.777777778,7
521,258,330,315,371,13218,8.75,10
1332,553,547,645,648,21032,3.5,3
588,316,383,344,381,14293,22.6,50
1805,398,394,441,447,14703,10.66666667,20
607,298,330,324,361,12279,4.842105263,5
1446,509,520,544,556,22085,14.8,35
1602,459,475,561,593,18855,18.42105263,24
1993,442,472,484,520,16427,10.83333333,15
484,232,324,265,318,10806,9.5,25
635,225,248,269,291,10611,13.25,20
831,597,601,625,629,18705,19.25,15
636,311,412,332,495,16133,16.66666667,25
485,344,382,402,422,17697,8,10
368,230,271,261,295,9547,10.7,19
1585,331,358,373,405,14925,20,5
2287,600,615,630,652,24286,20,30
428,208,243,268,293,10491,6.461538462,6
1076,593,586,623,613,18113,12.33333333,21
466,211,252,244,289,10094,5.625,5
881,297,363,375,453,19104,6.714285714,6
774,360,367,392,396,16493,5.888888889,10
375,182,207,208,232,8256,15,15
836,477,508,495,540,15366,6.238095238,5
1834,408,418,443,463,15069,8.642857143,10
625,259,282,299,309,11072,17.14285714,25
680,260,274,283,320,11264,12,25
661,320,325,310,299,10910,13.1,10
566,208,223,241,253,6854,8.058823529,20
345,236,278,283,328,11866,18.57142857,50
1509,545,617,599,680,23170,11.125,20
970,314,370,389,455,15281,12.66666667,25
512,190,237,248,297,9317,20,20
5139,599,793,663,839,33729,12.6,20
0,0,0,0,0,0,5.727272727,6
617,221,247,249,289,9366,24.22222222,50
923,299,364,353,409,15965,7.607142857,7
291,189,238,211,239,9188,12.5,25
2312,456,516,531,589,21372,8.941176471,7
423,212,262,251,287,9065,5.95945946,6
569,276,315,317,350,12795,9.727272727,15
544,255,305,282,313,10281,6.666666667,5
2250,209,148,295,251,9286,15,30
2803,555,616,546,620,17655,12.2,22
2328,346,469,434,493,17417,25,20
650,302,302,315,318,7080,8.666666667,21
