AVGGIFT,HV1_log,IC1_transformed,IC5_transformed,gender,TARGET_D
15.5,7.760467029,17.34338899,4.181352878,Male,21
3.08,6.208590026,16.23098438,4.150313431,Male,3
7.5,7.11395611,18.04722683,4.205056754,Female,20
6.7,5.783825182,11.73710972,4.055333475,Male,5
8.785714286,6.643789733,12.49486195,4.088968863,Female,10
13,6.32256524,13.4476017,4.033252228,Male,16
11.57142857,7.670894831,18.11611805,4.21273398,Female,15
12.5,7.688913337,16.24792133,4.198414774,Male,20
7.846153846,7.273786318,16.54720085,4.259500029,Female,10
9.769230769,7.443078374,17.59375798,4.271048108,Female,20
13.53846154,6.960347729,19.5180558,4.257683329,Female,20
15.33333333,6.967909202,18.2794177,4.209569394,Female,20
12.8,6.744059186,17.87977643,4.197639898,Male,25
5.125,5.361292166,13.70816434,4.156734822,Female,5
3.555555556,6.352629396,15.12706208,4.144642096,Female,4
8.875,7.826443135,17.76643532,4.196942906,Female,50
15,6.432940093,16.17997058,4.192754358,Female,25
7.913043478,6.638567789,14.79077793,4.196567733,U,15
30.75,6.523562306,15.9727901,4.176070092,Female,51
9.117647059,5.648974238,13.70816434,4.124112489,Female,10
10.04347826,6.979145275,13.93735133,4.186193696,Female,20
7.5,7.127693699,14.62744719,4.152223621,Male,10
12.07142857,6.570882962,15.31848535,4.156876032,Male,6
7.545454545,6.763884909,17.96387923,4.190618053,Male,11
15,6.439350371,14.00476366,4.091296027,Male,20
7.764705882,5.988961417,14.66859938,4.149064775,Male,13
4.652173913,6.270988432,17.23824412,4.173033457,Female,5
6,6.902742737,14.37586418,4.210184503,Male,5
8.428571429,7.6989362,19.39862546,4.15671127,Male,8
18.6,6.977281342,19.0687594,4.207725911,Female,10
10.64705882,5.945420609,12.46723114,4.111827474,Female,20
7.545454545,7.213768308,17.73788071,4.214645257,Male,6
10.66666667,6.584791392,16.72512129,4.223853362,Male,10
7.842105263,6.580639137,14.77054601,4.202115454,Female,7
37.2,6.405228458,14.79077793,4.139957597,Male,10
20,6.923628628,14.00476366,4.15986081,Female,20
10.75,6.056784013,8.730100947,4.063833444,Female,20
7.285714286,7.126890809,19.91377111,4.233249059,Female,8
10.27272727,6.831953566,13.66146857,4.174064664,U,5
10,6.11368218,13.63800982,4.106477834,Male,15
8.64,8.164794804,18.74021905,4.224548749,Female,10
10.6,7.751045118,16.62852505,4.178227941,U,25
9.1875,6.716594774,15.59743521,4.185164208,Female,8
14,7.528869257,17.07048129,4.240891818,Male,25
13.33333333,5.720311777,9.842568174,4.049212811,Female,20
10.6,8.172729105,18.2523975,4.231277945,Female,16
7.6,7.07834158,18.41337009,4.22770853,Female,15
8.538461539,5.669880923,12.46723114,4.137263009,Female,11
7.133333333,7.741533589,15.5791307,4.211711064,Male,10
11.5,7.699842407,15.5791307,4.180826711,Male,5
4,6.188264123,14.81095815,4.168442373,Male,5
8.954545455,7.820037989,16.709096,4.259472181,Female,20
4.1,7.412764017,14.62744719,4.242172877,Female,3
10.65217391,7.075808864,18.41337009,4.26416649,Male,5
4.885769231,5.758901774,13.91474578,4.203826942,Female,7
6.818181818,6.827629235,16.61232102,4.196684588,Female,10
8.454545455,6.811244379,15.14640994,4.16321927,Male,11
13.46153846,6.628041376,15.43120882,4.164505549,Female,10
8.793103448,6.538139824,18.4664248,4.208943364,Female,5
5.705882353,7.663877259,15.61569918,4.148901496,Female,6
15.47727273,6.476972363,14.91109475,4.209085277,Female,12
7.214285714,6.52649486,16.11147243,4.189902828,Male,10
7,6.295266001,14.95079844,4.130935074,Male,20
11.64285714,7.282073658,18.76589138,4.194698373,Female,20
7.555555556,6.65544035,15.65210641,4.184320881,Male,10
4.428571429,6.34738921,14.07157963,4.146732957,Male,8
25,6.095824562,14.6480503,4.156286551,Male,30
4.894736842,6.591673732,15.77828648,4.198406559,Female,7
7.6,7.425953657,18.50602228,4.195603241,Male,10
7.9375,6.946975992,13.66146857,4.181905154,Male,9
4.944444444,6.284134161,14.56531008,4.101245149,Female,10
15,7.408530567,16.993168,4.185569755,Female,21
11.46153846,7.956827122,15.54239923,4.214061811,Female,40
22.78571429,7.001245622,16.62852505,4.196617828,Female,50
11.55555556,6.698268054,14.85116474,4.150722664,Female,15
17.625,6.356107661,13.56718319,4.203779972,Female,30
11.11764706,6.753437919,15.26153242,4.177519692,Female,16
9,6.781057626,16.44859297,4.187186787,Female,15
11.44444444,5.905361848,12.63138249,4.117659071,Female,20
19.28571429,6.150602768,15.20417629,4.17028368,Male,25
6.416666667,6.448889394,15.99025059,4.160786225,Male,5
6.05,7.383989458,17.23824412,4.249857238,Female,8
5.375,6.274762021,14.24693524,4.133371252,Female,5
15.83333333,6.054439346,11.45324919,3.994450619,Female,30
9.118235294,7.363913501,15.44984564,4.072703315,Male,14
15,8.517193191,19.33836658,4.338121646,Female,5.25
4.733333333,6.359573869,15.52397181,4.218452722,Male,10
15,6.504288174,15.26153242,4.147726942,Female,15
15,6.715383386,14.9705763,4.153379553,Male,10
7.75,6.204557763,12.3555829,4.080633794,Male,5
7.3,6.768493212,18.21172111,4.241401698,Male,10
13.375,6.278521424,14.24693524,4.128613261,Female,17
5.75,6.845879875,15.26153242,4.206173526,Male,9
23,5.894402834,14.15976181,4.149202761,Female,30
15,5.568344504,11.79854858,4.101924745,Female,5
14.16666667,7.961718816,20.04981294,4.252205922,Male,25
10.30769231,6.719013154,13.93735133,4.1866412,Male,12
25,6.910750788,14.50267386,4.192234891,Male,25
7.076923077,8.292548514,18.75306377,4.248166334,Male,6
12.33333333,6.86171134,15.86725799,4.137759867,Male,12
9.625,7.731053144,16.56352677,4.215845025,Female,14
15,6.415096959,14.6480503,4.157743155,Female,20
5.055555556,6.393590754,15.00998552,4.155146529,Female,5
23.85714286,7.277247727,15.26153242,4.206410833,Female,42
11.25,6.124683391,13.4476017,4.191363787,Female,20
15,6.745236349,14.75026207,4.178678174,U,15
8.333333333,6.376726948,13.95988917,4.131733195,Female,5
5.636363636,6.65415252,15.56078545,4.161648004,Male,40
15.14285714,5.953243334,13.35050837,4.158974362,Male,21
27.25,6.333279628,11.79854858,4.124389007,Female,5
5.333333333,6.308098442,16.51445638,4.165406435,Female,5
11,6.603943825,15.92018998,4.199502083,Female,15
25,5.910796644,14.397144,4.091116947,Male,30
15,8.207401833,20.70423291,4.285879405,Female,15
3.722222222,7.105786129,17.29847741,4.232674158,Female,3
9.25,6.459904454,13.84651779,4.156699493,Female,20
12.625,6.304448802,14.26857425,4.172519562,Male,10
8,6.148468296,14.41836535,4.147498284,Female,10
14.44,6.484635236,13.54342221,4.154835895,Male,14
6.923076923,7.760467029,19.33836658,4.23628112,Male,15
8.833333333,6.728628613,16.709096,4.191835014,Male,20
4.090909091,7.054449658,16.54720085,4.149014558,Female,3
15,7.446001498,13.59086772,4.123573056,Female,15
15,6.742880636,16.5308441,4.17334071,Female,15
11.22727273,6.52649486,15.90258311,4.165777964,Male,20
15.35,7.412160335,15.29954541,4.209829195,Female,25
8.761904762,6.635946556,14.41836535,4.206173526,Male,18
8.916666667,6.086774727,12.79174751,4.126925682,Female,5
12.90909091,6.356107661,13.17740476,4.160112871,Male,10
20.875,7.218176838,17.20797511,4.215147938,Male,10
7.5,6.556778356,16.38222246,4.170661053,Female,10
9,6.056784013,15.61569918,4.145278328,Female,15
15,7.843456404,19.82205189,4.220965925,Female,30
4.277777778,6.792344427,18.31980326,4.258370735,Female,5
13.24,6.49677499,13.30147137,4.140793508,Male,20
8.863636364,6.22059017,14.56531008,4.125929323,Female,10
11.14285714,8.397282895,17.08586353,4.258997592,Male,10
12.52631579,6.562444094,16.5308441,4.178951374,Female,20
20,6.646390515,13.84651779,4.161081749,Female,30
20,6.833031733,17.1776034,4.220321166,Male,20
10.91666667,6.29710932,15.44984564,4.143201568,Male,18
9.6,6.601230119,19.90235157,4.255530231,Female,16
11,7.201916318,19.13068745,4.220724589,Female,20
10,6.703188113,14.62744719,4.213331698,Male,14
22.5,7.340835554,15.9727901,4.296631392,Female,25
15,7.00488199,17.10121922,4.231508886,Male,10
7.5,6.216606101,16.38222246,4.201461819,Female,15
12.77777778,6.03068526,14.68909475,4.168612901,Female,10
5.222222222,6.532334292,10.47885489,4.062457332,Female,5
5.090909091,7.049254841,18.74021905,4.203489881,Female,5
12,6.470799504,16.34884404,4.174774042,Female,10
9.777777778,5.627621114,13.15233303,4.127090969,Male,20
17.5,6.00635316,14.11579859,4.065340839,Male,16
6.827647059,5.010635294,12.15568938,4.098659588,Male,5
19.5,5.713732806,12.21340544,4.127988691,U,15
20,7.661527081,16.64469895,4.231618105,Male,30
14.14285714,6.65929392,14.91109475,4.179505542,Female,10
20.5,6.416732283,15.43120882,4.150002477,Female,5
7.785714286,6.754604099,16.85227869,4.220516341,Female,10
12.30769231,6.915723449,17.78067943,4.22075814,Female,15
11.5,6.741700695,12.79174751,4.148888927,Male,25
16.66666667,7.198183577,13.73140249,4.218541775,Female,20
11.54545455,7.388946098,18.57165436,4.239853353,Female,14
85,6.853299093,15.33738126,4.210147545,Male,100
4.857142857,6.535241271,14.00476366,4.148939195,Male,5
7.6,6.282266747,14.72992576,4.182388595,Female,10
3,6.152732695,13.56718319,4.152760384,Female,3
2.944444444,6.381816017,13.4476017,4.136722466,Male,3
15.3,6.797940413,16.91517397,4.236240483,Male,20
15,7.44775128,16.51445638,4.241202474,Female,15
14.81818182,7.042286172,15.93775998,4.198726511,Female,10
5.206896552,6.200509174,13.54342221,4.112402611,Male,5
14.77777778,7.62900389,17.63723372,4.1889868,Male,15
25,6.763884909,16.83648441,4.249356444,Male,25
11.625,7.518064181,16.66084287,4.203214774,Female,15
20,7.301822342,20.52297339,4.26373121,Male,20
25,7.082548569,16.34884404,4.180240321,Female,50
16.5,6.685860947,16.93082794,4.201381845,U,15
4.857142857,7.138867,14.37586418,4.207385338,Female,5
19,7.519149958,18.66278814,4.245595781,Female,10
4.75,6.719013154,18.17086775,4.19974589,Female,5
25,7.875119281,20.69365717,4.302737144,Female,25
7.454545455,6.210600077,13.82363633,4.140092809,Male,9
20,7.523481313,18.08862254,4.204311149,Female,20
