client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
836976,6.0,73.0,60.5,U,2.0,45105.3,6.0,9.0
2304905,7.0,94.0,58.0,U,2.0,110860.3,6.0,9.0
1439522,5.0,64.0,32.0,U,2.0,52467.78999999999,6.0,9.0
1562045,16.0,198.0,49.0,M,2.0,67454.65,3.0,6.0
5126305,12.0,145.0,33.0,F,2.0,103671.75,0.0,3.0
3727881,5.0,71.0,30.5,U,2.0,23915.6,0.0,3.0
272934,5.0,66.0,58.5,U,2.0,27021.42,2.0,5.0
388801,30.0,361.0,57.5,M,5.0,522498.72,1.0,4.0
285619,30.0,369.0,67.5,M,2.0,299388.72,3.0,6.0
8198645,15.0,189.0,54.5,F,2.0,382303.82999999996,6.0,9.0
8368822,8.0,100.0,34.5,U,2.0,75578.54000000001,0.0,3.0
2537139,8.0,99.0,51.5,U,2.0,135940.68,6.0,9.0
2208717,5.0,67.0,33.0,U,2.0,29782.96,6.0,9.0
2214073,16.0,193.0,62.5,M,3.0,136818.03,6.0,9.0
2368987,5.0,71.0,54.5,U,2.0,44408.869999999995,2.0,5.0
2892152,4.0,58.0,36.0,U,2.0,46815.479999999996,5.0,8.0
4536541,3.0,47.0,74.0,U,2.0,47804.5,1.0,4.0
3788589,10.0,122.0,32.5,M,2.0,30750.76,0.0,3.0
719792,11.0,136.0,31.0,F,2.0,111736.78,5.0,8.0
5904035,8.0,101.0,25.5,U,2.0,27848.76,3.0,6.0
1502049,8.0,100.0,31.0,U,2.0,28952.149999999998,0.0,3.0
6590646,8.0,103.0,42.5,F,3.0,2768726.87,5.0,8.0
7585111,5.0,70.0,42.0,U,3.0,36621.409999999996,1.0,4.0
3638336,12.0,152.0,30.5,M,3.0,54296.67,3.0,6.0
9520009,13.0,160.0,30.0,M,2.0,61062.57,6.0,9.0
1508759,6.0,80.0,58.5,U,2.0,66514.85,4.0,7.0
9381346,7.0,88.0,62.5,U,2.0,272252.76,0.0,3.0
7035604,7.0,86.0,30.5,U,2.0,28175.92,1.0,4.0
3055315,5.0,65.0,34.5,F,2.0,66560.69,1.0,5.0
3350906,5.0,68.0,55.0,U,2.0,88627.18,2.0,5.0
2109862,7.0,93.0,38.0,U,2.0,35917.29,2.0,5.0
1549737,7.0,94.0,68.5,U,2.0,35608.94,1.0,4.0
7474517,6.0,73.0,52.5,U,2.0,53993.47,4.0,7.0
6448014,7.0,85.0,57.5,U,2.0,82787.45999999999,6.0,9.0
6651826,8.0,103.0,34.5,U,2.0,44696.97,0.0,3.0
2305285,14.0,168.0,54.0,M,2.0,132347.89,6.0,9.0
5889920,11.0,142.0,33.0,M,2.0,106249.03,1.0,4.0
3065089,19.0,228.0,63.0,M,2.0,439723.43,6.0,9.0
313570,18.0,223.0,48.0,F,2.0,75124.07,2.0,5.0
9721424,12.0,152.0,32.0,F,2.0,29667.6,0.0,3.0
3753796,25.0,305.0,66.5,F,2.0,214661.75,6.0,9.0
6647577,23.0,286.0,68.0,F,3.0,86005.57,2.0,5.0
6341488,23.0,285.0,65.0,F,2.0,116534.45999999999,5.0,8.0
838619,23.0,280.0,60.5,F,2.0,131309.81,0.0,3.0
2000151,21.0,254.0,38.0,F,2.0,136515.53999999998,6.0,9.0
6579978,21.0,253.0,74.0,M,2.0,71192.58,1.0,4.0
8475126,23.0,278.0,51.0,M,3.0,327091.01999999996,3.0,6.0
7419744,18.0,221.0,49.0,U,2.0,162233.71000000002,0.0,3.0
9796602,18.0,216.0,46.0,F,2.0,25827.39,0.0,3.0
1329260,17.0,212.0,63.5,F,2.0,666138.27,5.0,8.0
4821014,17.0,204.0,62.5,M,2.0,45073.259999999995,1.0,4.0
7906602,21.0,260.0,54.5,F,2.0,39725.28,2.0,5.0
2671231,5.0,68.0,23.0,U,2.0,43062.3,1.0,4.0
9587439,5.0,66.0,26.5,U,2.0,28875.649999999998,6.0,9.0
5542798,9.0,116.0,56.5,M,2.0,79888.68,5.0,8.0
5977906,10.0,130.0,76.5,F,2.0,82916.93,3.0,6.0
7928244,14.0,177.0,33.0,F,2.0,105416.69,6.0,9.0
4906392,13.0,159.0,27.5,F,2.0,52600.869999999995,2.0,5.0
3939684,15.0,190.0,60.5,F,2.0,48166.13,1.0,4.0
3731320,7.0,89.0,39.5,U,2.0,34487.99,6.0,9.0
9055726,5.0,70.0,25.0,U,3.0,33261.64,6.0,9.0
5808972,5.0,66.0,23.0,U,2.0,29898.98,0.0,3.0
7414763,7.0,91.0,27.0,U,2.0,53219.649999999994,6.0,9.0
1531616,10.0,129.0,60.0,M,2.0,100777.88,6.0,9.0
8387066,27.0,329.0,66.0,M,2.0,406190.95999999996,6.0,9.0
3402999,7.0,92.0,39.0,U,2.0,56527.899999999994,0.0,3.0
8593187,14.0,168.0,56.0,M,3.0,207559.95,6.0,9.0
5908339,15.0,190.0,40.0,F,2.0,205785.55,5.0,8.0
4442018,6.0,82.0,33.0,U,2.0,65264.869999999995,6.0,9.0
5727622,6.0,73.0,52.0,U,3.0,109130.47,4.0,7.0
3284361,12.0,152.0,31.5,F,2.0,28085.989999999998,1.0,4.0
6666515,14.0,169.0,38.0,U,2.0,59526.369999999995,2.0,5.0
9150149,5.0,66.0,43.5,U,2.0,104179.39,2.0,5.0
7176877,5.0,66.0,35.0,U,2.0,75279.47,2.0,5.0
410752,11.0,142.0,19.0,M,2.0,25640.01,2.0,5.0
3979917,19.0,239.0,63.0,M,2.0,374919.6,4.0,7.0
7759130,5.0,69.0,64.5,U,2.0,78278.56,6.0,9.0
5587497,7.0,91.0,64.0,U,2.0,410277.5,5.0,8.0
4264493,5.0,67.0,22.5,U,3.0,36298.009999999995,6.0,9.0
9492169,4.0,58.0,42.0,U,2.0,98181.16,0.0,3.0
5816825,14.0,178.0,54.5,F,2.0,32873.33,3.0,6.0
9692048,11.0,142.0,38.0,M,2.0,87935.1,4.0,7.0
9250552,7.0,95.0,33.5,U,2.0,77674.34,2.0,5.0
1730954,5.0,63.0,36.5,F,2.0,58456.9,0.0,3.0
2264903,15.0,187.0,61.0,M,2.0,63368.799999999996,2.0,5.0
7321667,7.0,95.0,39.5,U,2.0,68761.48999999999,6.0,9.0
1460648,24.0,288.0,40.5,F,5.0,121700.66,5.0,8.0
2942135,21.0,261.0,68.5,U,3.0,417847.47,6.0,9.0
1459001,20.0,251.0,72.0,M,3.0,166623.2,1.0,4.0
6398341,20.0,250.0,33.5,F,3.0,109127.33,6.0,9.0
5531076,19.0,228.0,44.5,M,2.0,67727.62,2.0,5.0
3162487,8.0,101.0,40.0,U,2.0,259691.03999999998,0.0,3.0
2570380,4.0,56.0,52.5,U,2.0,51670.67999999999,2.0,5.0
5449775,4.0,56.0,28.5,U,2.0,46749.74,2.0,5.0
8415669,14.0,178.0,59.5,M,2.0,43793.82,0.0,3.0
6810931,5.0,60.0,23.0,U,2.0,45780.6,5.0,8.0
8096768,10.0,123.0,60.0,F,2.0,91761.22,0.0,3.0
6737425,15.0,190.0,59.5,M,2.0,83778.79000000001,5.0,8.0
7949341,14.0,175.0,48.0,U,2.0,25253.269999999997,0.0,3.0
7458635,7.0,94.0,26.5,U,3.0,158434.49,6.0,9.0
3322068,15.0,188.0,45.0,F,2.0,140687.41,6.0,9.0
1643775,4.0,59.0,18.0,U,2.0,25270.359999999997,1.0,4.0
934609,14.0,169.0,54.0,F,2.0,136573.63,1.0,4.0
2408879,4.0,58.0,49.0,U,2.0,208004.65000000002,5.0,8.0
1596507,28.0,336.0,78.0,F,3.0,175883.31,6.0,9.0
8763719,12.0,149.0,40.0,M,3.0,98540.5,6.0,9.0
7702214,6.0,73.0,32.0,U,2.0,43988.28,6.0,9.0
200698,13.0,156.0,31.5,M,2.0,28559.28,2.0,5.0
7449147,27.0,330.0,26.5,F,2.0,215247.65999999997,3.0,6.0
2096514,14.0,175.0,59.5,F,2.0,84419.06,1.0,4.0
5474775,14.0,175.0,40.5,F,2.0,95855.61,0.0,3.0
6226205,12.0,155.0,68.5,F,2.0,45294.1,4.0,7.0
2069824,13.0,167.0,50.5,F,2.0,52157.46,6.0,9.0
