,client_id,Variation
0,9988021,Test
1,8320017,Test
2,4033851,Control
3,1982004,Test
4,9294070,Control
5,9466803,Test
6,3170143,Test
7,6651403,Control
8,5887227,Test
9,2105948,Control
10,438567,Test
11,2519971,Test
12,9814849,Control
13,5407849,Test
14,7286739,Control
15,4446011,Control
16,5308474,Test
17,2991219,Test
18,2354414,Test
19,949210,Test
20,4229407,Control
21,9987707,Test
22,2709011,Test
23,4507502,Test
24,2842481,Control
25,2317698,Test
26,3013805,Test
27,1218661,Control
28,2965703,Test
29,1712929,Control
30,2328234,Test
31,800925,Control
32,6685654,Test
33,8766054,Test
34,4726500,Test
35,9504867,Test
36,1242238,Control
37,7800773,Test
38,9477476,Control
39,1338778,Control
40,6584990,Control
41,7859827,Test
42,7407692,Test
43,7040762,Control
44,9900469,Test
45,5169372,Control
46,5267250,Control
47,2079440,Test
48,5376894,Test
49,3751049,Control
50,8240010,Test
51,6110816,Test
52,2550129,Test
53,9912156,Control
54,7690370,Test
55,9885354,Test
56,1962381,Test
57,229701,Control
58,2818303,Control
59,6229916,Test
60,9358626,Control
61,4773291,Control
62,4953263,Control
63,522661,Test
64,3754789,Control
65,3066535,Control
66,9545426,Control
67,4778144,Control
68,2000786,Control
69,1532932,Test
70,9096386,Test
71,6986475,Control
72,7996704,Control
73,2211277,Test
74,9268841,Test
75,4213800,Control
76,1763518,Control
77,7485024,Test
78,2437471,Control
79,1628554,Test
80,9744906,Test
81,7289266,Control
82,3883711,Test
83,8123801,Test
84,598943,Control
85,8491121,Test
86,8861901,Control
87,6853744,Control
88,1404893,Control
89,768936,Test
90,5408845,Test
91,9336495,Control
92,4744361,Control
93,2397739,Test
94,2136502,Test
95,7501437,Test
96,9628154,Control
97,9293919,Control
98,5318449,Test
99,5022038,Test
100,2565373,Control
101,5745157,Test
102,6653427,Test
103,6071019,Control
104,632316,Test
105,1152171,Test
106,8188670,Control
107,1021747,Test
108,226198,Test
109,6216233,Control
110,1846219,Test
111,2093449,Test
112,7902892,Test
113,722917,Test
114,4747144,Control
115,2199722,Test
116,2235331,Test
117,8313694,Control
118,2382696,Test
119,2679453,Control
120,7276973,Control
121,4532572,Test
122,8771952,Test
123,5256566,Control
124,1342790,Control
125,9775174,Test
126,3703187,Test
127,2769120,Control
128,6031726,Test
129,8870709,Control
130,2145511,Control
131,461846,Control
132,4878112,Control
133,843249,Test
134,5018154,Test
135,9414396,Control
136,6650565,Control
137,2062199,Control
138,6682559,Test
139,9516496,Test
140,3382939,Test
141,7833565,Test
142,9448266,Test
143,2406356,Test
144,7112284,Control
145,6141432,Control
146,2015197,Control
147,5429577,Control
148,1636347,Control
149,4577314,Control
150,3068817,Test
151,2358419,Test
152,6283739,Control
153,8289357,Test
154,1423857,Control
155,117916,Test
156,2810561,Test
157,2040881,Control
158,6547909,Control
159,9774553,Test
160,203702,Control
161,2336869,Control
162,3638107,Control
163,391025,Control
164,6954534,Test
165,7636277,Control
166,8100455,Test
167,3548541,Test
168,2050360,Test
169,8675285,Test
170,868124,Control
171,8241574,Test
172,559169,Control
173,2276090,Control
174,1095432,Test
175,3036660,Control
176,5546524,Control
177,3544855,Test
178,7474517,Control
179,7212234,Test
180,9207047,Test
181,452583,Control
182,7762269,Test
183,7599262,Test
184,945176,Control
185,7690452,Test
186,5537612,Test
187,4256611,Test
188,2889049,Control
189,137412,Test
190,171492,Test
191,668996,Control
192,8076294,Control
193,8893466,Test
194,4727155,Test
195,4493573,Test
196,2797397,Control
197,6480779,Control
198,257840,Test
199,7340414,Control
200,5221768,Test
201,2306578,Test
202,9700346,Test
203,192518,Test
204,5163125,Control
205,5821983,Control
206,1884538,Control
207,902895,Test
208,841242,Control
209,872142,Control
210,3480918,Test
211,8203999,Test
212,617840,Control
213,1929698,Control
214,8963925,Test
215,7758940,Test
216,8319726,Test
217,298590,Test
218,2856502,Test
219,6930182,Test
220,965266,Control
221,2465098,Test
222,1667380,Test
223,8701900,Test
224,5133382,Test
225,913704,Test
226,1519456,Test
227,8424645,Control
228,7284366,Test
229,1933359,Test
230,4506445,Test
231,8366788,Test
232,7214811,Test
233,6819326,Control
234,2475049,Control
235,6394423,Test
236,3081313,Control
237,9292160,Test
238,493311,Control
239,4470019,Test
240,6442081,Test
241,8416851,Control
242,1938076,Test
243,1907109,Test
244,2852997,Control
245,7979476,Test
246,5255030,Test
247,3633784,Test
248,7161996,Test
249,9707270,Control
250,4772716,Control
251,9888375,Control
252,1161478,Test
253,7669299,Test
254,3827180,Control
255,1970830,Control
256,1640688,Control
257,676552,Test
258,3399501,Test
259,3543788,Test
260,7902599,Test
261,8068308,Control
262,4638153,Control
263,1788838,Control
264,693101,Test
265,6520285,Test
266,9997114,Control
267,3286605,Control
268,1751757,Test
269,1064690,Control
270,2038707,Control
271,297472,Control
272,2160702,Control
273,2289897,Control
274,4657902,Test
275,6960009,Control
276,6665317,Test
277,2057773,Control
278,7523181,Control
279,5324253,Test
280,860745,Control
281,5340072,Test
282,5226626,Test
283,4520186,Test
284,219230,Control
285,3369137,Control
286,7479054,Control
287,4244891,Test
288,4384098,Control
289,7582150,Control
290,8308363,Test
291,8165914,Test
292,3520993,Control
293,5645966,Control
294,9378146,Control
295,148369,Test
296,5192659,Test
297,7007069,Control
298,127921,Test
299,3310785,Control
300,7423412,Control
301,8279228,Test
302,588240,Control
303,7699381,Control
304,7046133,Control
305,9364005,Test
306,5459195,Test
307,6442655,Test
308,7449461,Test
309,4963381,Test
310,6456062,Control
311,4823947,Control
312,8860992,Control
313,530654,Control
314,3347759,Control
315,7873338,Control
316,169185,Test
317,6980919,Test
318,6519269,Test
319,1638971,Test
320,7984549,Test
321,4137841,Test
322,459221,Test
323,3430793,Test
324,4853470,Test
325,8696517,Control
326,5751565,Test
327,3968370,Control
328,1718250,Test
329,6058534,Test
330,6597561,Control
331,6098661,Test
332,8861365,Test
333,2346575,Test
334,7973780,Control
335,5119497,Control
336,2532775,Test
337,3155140,Control
338,924852,Test
339,8330343,Test
340,8607482,Test
341,4827059,Control
342,4785260,Test
343,4778491,Test
344,7200160,Test
345,304982,Control
346,7177069,Test
347,9059531,Control
348,3130496,Test
349,7705990,Test
350,133101,Control
351,2790745,Test
352,2498676,Test
353,8988721,Control
354,6224299,Control
355,3217890,Control
356,9403921,Control
357,2356366,Control
358,453167,Control
359,372523,Control
360,2611324,Test
361,8766886,Test
362,3106431,Test
363,5615453,Test
364,7087847,Control
365,8760103,Test
366,5786954,Test
367,3175977,Test
368,5124813,Test
369,7221996,Test
370,7422759,Control
371,8609229,Test
372,9176963,Test
373,589292,Test
374,5417457,Control
375,863704,Control
376,117276,Test
377,7441896,Control
378,7763445,Test
379,7359292,Test
380,4101033,Control
381,1180583,Control
382,246429,Test
383,395074,Test
384,6006542,Test
385,1424799,Test
386,4251309,Test
387,5026927,Test
388,8512093,Test
389,8959766,Test
390,413157,Control
391,7448926,Control
392,806192,Test
393,1542033,Test
394,3432043,Test
395,1406408,Test
396,4694039,Test
397,2155192,Test
398,2657900,Control
399,4514754,Control
400,1673947,Control
401,4961256,Test
402,3413971,Control
403,2323637,Test
404,1209140,Test
405,85097,Control
406,2262795,Control
407,4501407,Test
408,5593703,Test
409,1461831,Test
410,5867403,Test
411,8825647,Control
412,2314843,Test
413,219207,Test
414,3535465,Test
415,4878070,Test
416,7337058,Control
417,3498908,Control
418,77276,Test
419,4630285,Control
420,5667617,Test
421,8184247,Control
422,7787684,Control
423,4247007,Control
424,7644707,Test
425,8620721,Control
426,1818956,Control
427,2211868,Control
428,5437254,Test
429,3584819,Control
430,6303538,Control
431,897477,Control
432,8003648,Control
433,5456658,Control
434,3846126,Test
435,5673767,Test
436,2558586,Test
437,4008787,Test
438,6917138,Test
439,2333006,Control
440,9067031,Test
441,7761694,Test
442,2043345,Test
443,4209246,Test
444,5238758,Test
445,1373405,Test
446,8277940,Control
447,2735635,Test
448,5567038,Test
449,4239711,Control
450,9635244,Control
451,2798211,Test
452,2915635,Test
453,947738,Test
454,3444839,Test
455,9797297,Control
456,5176958,Control
457,759780,Test
458,4985317,Test
459,3910595,Test
460,6688350,Test
461,6405208,Test
462,2986194,Test
463,1651697,Control
464,6503101,Test
465,9103724,Control
466,2561883,Test
467,7873226,Control
468,9922958,Test
469,323950,Control
470,932489,Test
471,6781849,Control
472,467861,Test
473,7430424,Control
474,7458004,Control
475,8753284,Test
476,9052277,Test
477,1428836,Test
478,2480352,Test
479,5896556,Control
480,3716868,Test
481,993682,Control
482,4036374,Control
483,1330036,Test
484,6325731,Test
485,8750191,Control
486,1720728,Test
487,9004679,Control
488,4342700,Control
489,8723963,Test
490,2458751,Test
491,5203477,Test
492,6405391,Test
493,2374507,Test
494,3011265,Control
495,3029315,Test
496,9164248,Test
497,6450029,Control
498,7045324,Test
499,3582059,Test
500,6773537,Test
501,1314809,Control
502,2615801,Test
503,7375067,Control
504,7159966,Test
505,4575187,Test
506,667534,Test
507,8604038,Control
508,2617114,Control
509,3436975,Control
510,119599,Test
511,7574730,Test
512,3362712,Control
513,42296,Control
514,3695514,Control
515,1192384,Control
516,4590361,Control
517,5543024,Test
518,7546085,Test
519,3072060,Test
520,1928906,Control
521,512833,Control
522,9089805,Control
523,5397802,Test
524,2888193,Control
525,4778460,Control
526,6199584,Test
527,7192558,Test
528,9102754,Test
529,3576255,Test
530,6346672,Control
531,1274510,Test
532,8283444,Control
533,3519145,Test
534,4390568,Control
535,5694063,Test
536,3602152,Test
537,4065760,Test
538,69568,Test
539,2420923,Test
540,5848027,Control
541,6522942,Test
542,1272344,Test
543,8957739,Test
544,8337830,Control
545,572617,Test
546,7744581,Test
547,3045158,Control
548,6747525,Control
549,7258442,Control
550,7746715,Test
551,1486118,Control
552,3563844,Test
553,9493365,Test
554,985881,Test
555,9792423,Test
556,7037852,Control
557,6767637,Control
558,8735726,Control
559,5914359,Test
560,1983898,Control
561,8930597,Control
562,1892008,Control
563,9889913,Test
564,1468125,Control
565,3025507,Control
566,529710,Test
567,9842475,Control
568,4343885,Control
569,4876132,Test
570,7829568,Test
571,8472274,Test
572,7475482,Control
573,6371350,Test
574,838584,Test
575,8526665,Control
576,9865882,Control
577,4717090,Control
578,1289178,Test
579,3412472,Control
580,6766816,Test
581,6774011,Test
582,3649806,Test
583,1034218,Test
584,4448805,Control
585,3766837,Test
586,9231655,Control
587,6296222,Test
588,2200779,Test
589,5027124,Control
590,1432979,Control
591,3999559,Test
592,3671491,Control
593,3179230,Test
594,9748979,Control
595,3590487,Test
596,8874319,Test
597,8691226,Test
598,9513138,Control
599,7884558,Test
600,1090478,Test
601,1304240,Test
602,2681612,Control
603,851930,Control
604,1344982,Test
605,5171271,Test
606,6602680,Test
607,2447231,Test
608,5631396,Test
609,6833110,Control
610,4960901,Control
611,2189750,Test
612,9455754,Test
613,209511,Control
614,741785,Control
615,2855888,Control
616,9083686,Control
617,2645953,Control
618,903457,Control
619,3039540,Test
620,4730612,Test
621,2763314,Control
622,3453411,Test
623,5212054,Control
624,1344819,Control
625,8681644,Control
626,8125499,Test
627,7271587,Test
628,964596,Test
629,2675819,Control
630,8852099,Control
631,7465287,Test
632,8132181,Test
633,5759626,Test
634,2900782,Control
635,2963107,Control
636,8862044,Control
637,7433366,Control
638,133487,Control
639,7470213,Test
640,6809622,Test
641,1616582,Test
642,9159465,Test
643,494597,Test
644,4503552,Control
645,3089722,Control
646,9641810,Control
647,985046,Test
648,192160,Test
649,6233261,Test
650,6332820,Control
651,2623927,Control
652,8839288,Test
653,495241,Test
654,5195063,Test
655,7878552,Control
656,2312741,Test
657,7633966,Control
658,6717348,Test
659,3502824,Control
660,614865,Test
661,7702732,Test
662,1711408,Test
663,1399670,Control
664,157106,Test
665,1696504,Control
666,4243376,Test
667,2606054,Test
668,4369578,Test
669,7597104,Control
670,9221129,Test
671,8225520,Test
672,595691,Test
673,6464033,Test
674,4211505,Control
675,9335333,Test
676,1192407,Test
677,9824178,Test
678,1087333,Test
679,3982600,Control
680,1290643,Test
681,728102,Test
682,763504,Test
683,629229,Test
684,2892822,Test
685,219038,Test
686,3387907,Control
687,951327,Test
688,4857096,Control
689,7258987,Test
690,5240348,Control
691,9219098,Control
692,6521093,Control
693,3421393,Control
694,2025761,Control
695,3119062,Test
696,6740819,Control
697,6053599,Control
698,7606536,Control
699,3206726,Control
700,2128160,Control
701,2019649,Test
702,1194245,Control
703,2681771,Test
704,8295735,Control
705,312984,Control
706,2839247,Control
707,9661060,Test
708,5732744,Control
709,3973582,Test
710,4620465,Test
711,6115514,Test
712,6479455,Test
713,5363445,Control
714,6981798,Control
715,8031718,Control
716,1262291,Control
717,8770403,Control
718,1348442,Control
719,566137,Test
720,3861702,Control
721,4693102,Control
722,5398009,Test
723,5015824,Test
724,9542428,Control
725,8348798,Test
726,4608580,Control
727,2263719,Control
728,2612667,Test
729,1213524,Test
730,1344421,Test
731,8555070,Control
732,2787512,Control
733,9534176,Control
734,2588637,Test
735,2615052,Test
736,965179,Test
737,273469,Test
738,6651108,Test
739,7460349,Control
740,3197853,Test
741,844271,Test
742,8774888,Test
743,6382757,Test
744,8501430,Control
745,6724494,Test
746,7804581,Control
747,8095423,Control
748,8264879,Test
749,6374406,Control
750,2717233,Test
751,9837096,Control
752,4281763,Test
753,9112089,Control
754,7887156,Control
755,743037,Control
756,3825646,Control
757,6948287,Test
758,3060095,Test
759,9696533,Control
760,4701896,Test
761,4743022,Control
762,2491891,Test
763,589393,Test
764,6033805,Control
765,7690775,Control
766,466526,Control
767,8305562,Test
768,3319690,Test
769,5253835,Test
770,5688104,Control
771,9589889,Test
772,9513516,Test
773,1410997,Control
774,6682361,Test
775,390650,Test
776,9914877,Test
777,1908164,Test
778,1428184,Test
779,6662941,Control
780,625038,Control
781,8127978,Test
782,4497644,Test
783,2928968,Test
784,2459641,Test
785,2502567,Control
786,6809452,Test
787,2570257,Control
788,1900836,Test
789,9887206,Test
790,8117339,Control
791,9292612,Control
792,4589317,Test
793,9600289,Test
794,8644587,Test
795,3515019,Test
796,1399011,Test
797,3859509,Test
798,9624621,Control
799,1411452,Test
800,9451729,Test
801,7158922,Test
802,2824464,Test
803,7355987,Test
804,4290599,Test
805,195455,Test
806,5941398,Test
807,4855745,Test
808,5670374,Control
809,4889645,Test
810,7393980,Test
811,5754741,Test
812,955190,Test
813,5520127,Control
814,8360249,Control
815,4825054,Control
816,431615,Test
817,6405406,Test
818,5619517,Control
819,4452301,Test
820,9762839,Test
821,2044540,Control
822,5080437,Test
823,8213521,Control
824,9937888,Test
825,9786441,Test
826,5593356,Control
827,6217407,Test
828,4883446,Test
829,8655162,Test
830,1622925,Test
831,5867862,Test
832,7916237,Test
833,2080737,Test
834,3350408,Test
835,1011972,Control
836,520210,Test
837,6559023,Control
838,1835426,Test
839,1859491,Test
